database_id,hpo_ids_list
OMIM:100800,['HP:0003577']
OMIM:101000,['HP:0011462']
OMIM:101200,['HP:0003577']
OMIM:101900,['HP:0003577']
OMIM:102150,['HP:0011463']
OMIM:102200,['HP:0011462']
OMIM:102400,['HP:0003621']
OMIM:102700,"['HP:0003593', 'HP:0003623']"
OMIM:103050,"['HP:0003577', 'HP:0003593', 'HP:0003623']"
OMIM:103200,['HP:0003596']
OMIM:103500,['HP:0003577']
OMIM:103580,['HP:0003593']
OMIM:103900,"['HP:0003621', 'HP:0011463', 'HP:0003581']"
OMIM:104100,['HP:0003577']
OMIM:104290,['HP:0011463']
OMIM:104300,['HP:0003581']
OMIM:104310,['HP:0003584']
OMIM:105120,['HP:0003581']
OMIM:105200,['HP:0003581']
OMIM:105210,['HP:0003581']
OMIM:105250,['HP:0011463']
OMIM:105400,['HP:0003581']
OMIM:105500,"['HP:0003596', 'HP:0003584']"
OMIM:105550,['HP:0003581']
OMIM:105650,"['HP:0003593', 'HP:0011463', 'HP:0011462', 'HP:0003623', 'HP:0003577']"
OMIM:106050,['HP:0003621']
OMIM:106100,"['HP:0011463', 'HP:0011462']"
OMIM:106210,['HP:0003577']
OMIM:106260,['HP:0003577']
OMIM:106600,['HP:0011463']
OMIM:107480,['HP:0003577']
OMIM:107970,['HP:0003621']
OMIM:108145,['HP:0003577']
OMIM:108420,['HP:0011462']
OMIM:108600,"['HP:0003621', 'HP:0011462']"
OMIM:108720,['HP:0003577']
OMIM:109150,['HP:0025710']
OMIM:112240,['HP:0003593']
OMIM:114290,"['HP:0003577', 'HP:0030674']"
OMIM:115150,['HP:0003577']
OMIM:115195,"['HP:0003596', 'HP:0011462']"
OMIM:115197,"['HP:0003623', 'HP:0003621', 'HP:0003581']"
OMIM:115200,"['HP:0003596', 'HP:0011462']"
OMIM:115310,['HP:0003581']
OMIM:115470,['HP:0003577']
OMIM:115900,"['HP:0003577', 'HP:0011462']"
OMIM:116100,['HP:0003621']
OMIM:116200,['HP:0003577']
OMIM:116300,['HP:0003577']
OMIM:116920,['HP:0003623']
OMIM:117000,"['HP:0003593', 'HP:0003623']"
OMIM:117210,['HP:0003584']
OMIM:117360,"['HP:0003596', 'HP:0003593', 'HP:0003577', 'HP:0011463']"
OMIM:117550,"['HP:0011463', 'HP:0011461', 'HP:0003623']"
OMIM:117650,['HP:0003577']
OMIM:118200,['HP:0003621']
OMIM:118210,['HP:0003596']
OMIM:118220,['HP:0003621']
OMIM:118300,"['HP:0003621', 'HP:0011463']"
OMIM:118400,"['HP:0003621', 'HP:0011463', 'HP:0011462']"
OMIM:118450,"['HP:0003593', 'HP:0011463']"
OMIM:118600,['HP:0003581']
OMIM:118700,"['HP:0011463', 'HP:0003593']"
OMIM:118750,['HP:0003593']
OMIM:118800,"['HP:0011463', 'HP:0003593']"
OMIM:119300,['HP:0003577']
OMIM:119500,['HP:0003577']
OMIM:119530,['HP:0003577']
OMIM:119600,['HP:0003577']
OMIM:119800,['HP:0003577']
OMIM:119900,['HP:0003577']
OMIM:120100,['HP:0003593']
OMIM:120330,['HP:0003577']
OMIM:120433,['HP:0003577']
OMIM:121050,['HP:0003577']
OMIM:121070,['HP:0003577']
OMIM:121200,['HP:0003623']
OMIM:121201,['HP:0003623']
OMIM:121210,['HP:0011463']
OMIM:121300,['HP:0011462']
OMIM:121820,"['HP:0003621', 'HP:0003596', 'HP:0011462']"
OMIM:122400,"['HP:0003621', 'HP:0011463']"
OMIM:122470,"['HP:0003593', 'HP:0003577']"
OMIM:122600,['HP:0003577']
OMIM:122860,['HP:0003593']
OMIM:123000,"['HP:0003593', 'HP:0011463', 'HP:0003577', 'HP:0003621']"
OMIM:123100,"['HP:0003577', 'HP:0003593']"
OMIM:123400,['HP:0003596']
OMIM:123700,['HP:0003577']
OMIM:123790,['HP:0003577']
OMIM:124000,['HP:0003577']
OMIM:124480,['HP:0003577']
OMIM:124500,['HP:0011463']
OMIM:124700,['HP:0011463']
OMIM:124900,"['HP:0003621', 'HP:0011463']"
OMIM:125250,['HP:0011463']
OMIM:125310,"['HP:0003596', 'HP:0011462']"
OMIM:125370,"['HP:0003621', 'HP:0003596', 'HP:0003584', 'HP:0011462']"
OMIM:125420,['HP:0003593']
OMIM:125520,['HP:0003577']
OMIM:125800,['HP:0003623']
OMIM:125851,['HP:0003621']
OMIM:125852,['HP:0025708']
OMIM:125853,['HP:0003584']
OMIM:126200,['HP:0003581']
OMIM:126700,"['HP:0003596', 'HP:0003584', 'HP:0025710']"
OMIM:126900,['HP:0003581']
OMIM:127000,['HP:0003577']
OMIM:127400,['HP:0003593']
OMIM:127500,['HP:0003593']
OMIM:128100,"['HP:0003596', 'HP:0003623']"
OMIM:128101,"['HP:0003621', 'HP:0011462']"
OMIM:128200,['HP:0003621']
